track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
Mad - Promo Version,4khAZaVsqoaSZfnJNRv2Wi,0.2,0.732,1.51e-05,0.0328,11.0
Satisfaction - RL Grime Remix,68J8vrLOTrUUOzaPLtWOHi,0.783,0.999,0.129,0.125,11.0
Anchor,69mlHIPayAZVzC32RaVty5,0.536,0.832,0.00768,0.155,8.0
Liberate,6X0WsSsMMwam5AzVxlUUzo,0.515,0.877,0.0024,0.444,5.0
Exogenesis,7lZni8yv8FMx7120C7uF1V,0.559,0.915,0.00111,0.0531,6.0
Wildfire - Radio Edit,4dSUq6XjY2Z7X3IdyR0Aig,0.547,0.746,0.0111,0.115,6.0
Vava Voom,0fTFmyy8AwWHiRoDgTh80w,0.537,0.97,0.000401,0.163,7.0
Otherside,3CeYdUfGPCjKMDYyI1PpCh,0.458,0.795,0.00316,0.493,0.0
Monster (DotEXE Remix),5KmhARDh8FEU3Lj2UKYwqU,0.645,0.741,0.288,0.414,6.0
Surrender,3rwdcyPQ37SSsf1loOpux9,0.542,0.894,0.0236,0.289,1.0
Right Now (Na Na Na),1ARJhjuI6TNYZCxYygFQ4F,0.816,0.851,0.283,0.558,8.0
Can't Get Enough - Radio Edit,64HH8QusEYZYm3wZEplgn9,0.584,0.86,0.118,0.117,6.0
Wonderwall,4w7RuuQAVP0JXlAom3z1aC,0.41,0.893,0.000714,0.674,6.0
Playground [feat. Bugle & Arama],592Ln8BTUH0wFK0jQZWZId,0.569,0.676,0.0917,0.784,11.0
You Used to Hold Me,4kpDB9E9RvdZs5lRgXayAx,0.628,0.97,0.022,0.172,11.0
Sex Apeal (Max Farenthide Remix) (Feat. Mike W.),15zhoCCzmWbxLPtP5l6I6B,0.805,0.835,0.00278,0.948,7.0
Lights Down Low,0hkR93a0LriV2CQUhSXw3h,0.717,0.858,0.0694,0.688,7.0
Evil Beauty,4FXj4ZKMO2dSkqiAhV7L8t,0.652,0.581,0.337,0.459,9.0
I'm A Drum Machine - Radio Edit,4I04xFY8Zb2BtL9PJB83rP,0.779,0.976,0.000251,0.557,6.0
Cinderella Man,0cc9bwqbJ4Y3DsJr2GRAz3,0.644,0.915,0.218,0.664,8.0
Here Again (feat. Veela),4J3MSIOc9iRKlLjMIz86eq,0.73,0.553,0.0359,0.294,8.0
Piece of Me - JKAY Remix,50ju2h9EUXaFB5f7ajOrfT,0.752,0.658,0.00131,0.781,1.0
I Know You Want Me (Calle Ocho),5RzFJd6W40SDTyZkX6xx45,0.82,0.731,0.0133,0.805,9.0
Rain,2YfVXi6dTux0x8KkWeZdd3,0.516,0.545,0.146,0.204,7.0
Let It Be (feat. Veela),4ChBLndekjzQveHPsn3r6W,0.518,0.584,0.0134,0.173,3.0
Axel F - Radio Mix,54mXTdOfNN7YYma1iRW3WY,0.864,0.908,0.297,0.804,2.0
Hypest Hype,5BGTfgBLQAhfFXIGSFsFz5,0.622,0.951,0.00144,0.512,2.0
Freaks,4345xChUKIjeIyGPSYX6XA,0.617,0.925,0.001,0.836,4.0
Standby,4is6Z7ZZkQKxezliMAVah7,0.604,0.932,0.00687,0.308,11.0
Guns and Roses (feat. P!nk),135LJjySt93VCJfg2eCdeI,0.273,0.857,0.0842,0.43,1.0
Monster Dubstep (feat. Meg & Dia),1Nhpl3nS1C1Ognzy8q46dM,0.366,0.813,0.0795,0.297,0.0
My Name Is,2fy3rYGfYeY24CDPtlQdPq,0.801,0.734,0.0613,0.806,9.0
Feel So Close - Nero Dub,29CUH1oudJKhTZx1sWSRIu,0.218,0.701,0.000267,0.0551,2.0
Dead And Gone - feat. Justin Timberlake,4CT0sNfZF2h3f7YlWxLpmd,0.712,0.748,0.0458,0.405,0.0
Raise Your Weapon,6CY8FegdChgsMU2EhKkXPy,0.507,0.696,0.0155,0.0679,1.0
Are We Happy Now?,4ME2s6l7VNi18wY7pgwbDE,0.465,0.675,0.0456,0.563,5.0
Bounce - Radio Edit,36cmM3MBMWWCFIiQ90U4J8,0.779,0.963,0.0334,0.756,2.0
I Still Can't Stop,2ClWt2RN5FdNthxgR2VRDF,0.661,0.855,0.000847,0.137,0.0
Cooler Than Me,2DPYlWl50ydYsnnuryL5aX,0.837,0.515,0.103,0.766,7.0
Take Ü There (feat. Kiesza),6XptOuDraarGwkisvMpZj5,0.542,0.879,0.0523,0.118,6.0
Headlines - Edited Version,3pVYaDSQ4z0RIrxXQOzbR9,0.669,0.532,0.381,0.434,6.0
Apollo - Radio Edit,5v54ZQ0glzbB9XUPTaX0cj,0.56,0.742,0.015,0.27,9.0
Oh No,2Vq1ag1tOZIIUN2mH5WZa6,0.518,0.892,0.000531,0.235,0.0
Horizons - Original Mix,4VZyqUe1h42DvYSlDFIiQP,0.248,0.689,0.0029,0.278,8.0
Dicks out for Harambe (Remix) [feat. Baked Alaska],1teaQnt8eVGBy0DoLZJulu,0.738,0.69,0.102,0.568,0.0
Moar Ghosts 'n' Stuff,2lXzgU19U9cSZLJtawjob6,0.903,0.648,0.000105,0.355,5.0
Jumpman,6ApJN7sbsgAKwO29JbSLiK,0.859,0.563,0.0595,0.66,1.0
The Music's Not Over,4gjVjSHvFdzgOTEy2MloqU,0.483,0.924,0.00735,0.443,1.0
Legacy - Radio Edit,4IWLawtdMznqdOnbOR9cWW,0.586,0.706,0.0609,0.18,0.0
Mountains and Molehills - feat. Turin Brakes,2I0G8OVqgjLvY5fBC9Qc0J,0.595,0.763,0.0105,0.038,4.0
Ghosts - Extended Mix,5yH1lUTtIVIQAtKpvIEM5J,0.574,0.875,0.000351,0.516,11.0
Thinking About You,1KtD0xaLAikgIt5tPbteZQ,0.725,0.874,0.00262,0.74,0.0
Frame of Mind,1CRESO4AuKm5B5Lqodk7t9,0.435,0.727,0.0424,0.403,1.0
Sweet Escape,6vPJvkEuWZPcv58NnQ3dBR,0.571,0.846,0.0876,0.474,2.0
Intelligence - Original Mix,2bBpASy4X678fjVk5LQr9S,0.534,0.936,0.0279,0.289,7.0
Lights - Bassnectar Remix,3nPpCn5nYTMg0ajmzv57Jq,0.529,0.809,0.00422,0.325,1.0
Hysteria,3gGwor936FHfDVaNNlGYwl,0.565,0.694,0.00315,0.46,11.0
Tropicana,5ovKMrenMOvhyEcMWmLnZj,0.542,0.805,0.267,0.313,9.0
The Drift,14JJgiD5VDRpMOuTm9AE5J,0.536,0.712,0.0649,0.704,1.0
Rise & Fall (feat. Krewella),5yQmKyKEdjtxFDPIK9mFLn,0.513,0.819,0.00224,0.445,5.0
Valkyrie (feat. Laura Brehm),4IGN2WR0gGPKxCdlEsR7Wp,0.43,0.663,0.0172,0.191,10.0
Reload - Vocal Version / Radio Edit,5jyUBKpmaH670zrXrE0wmO,0.487,0.722,0.0766,0.414,4.0
Blue,5pXXTubAeE6K72UH94kKzJ,0.399,0.63,0.00084,0.0377,4.0
Feel Stronger,51lw0kzOKi4K3uRGj7K5HK,0.162,0.869,0.000196,0.0498,4.0
Vice,1yFhsKboncOUUXhRAqcWd2,0.553,0.938,0.000276,0.0333,11.0
Find You,4e1V6XqJ0GbagtTaI6ytUS,0.532,0.792,0.027,0.381,3.0
Little Too Close (feat. Veronika Redd),3DRDBFh14bHqSttHxYJFF7,0.654,0.749,0.0313,0.354,10.0
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,0.536,0.55,0.0537,0.227,10.0
Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,0.0319,0.791,9.0
Dusk to Dawn,29mwaZVWzTiVgou4ghU1xT,0.497,0.851,0.000298,0.261,6.0
Keep on Dancing,2zur5fqnOPxukSi1YuoK5s,0.558,0.86,0.000617,0.376,10.0
You Know You Like It,57kR5SniQIbsbVoIjjOUDa,0.426,0.722,0.0113,0.235,5.0
Turn Me On,28XFFzVPXs3kzXOERhz3wU,0.477,0.846,0.00792,0.0786,6.0
City Lights,1sYClIlZZsL6dVMVTxCYRm,0.625,0.829,0.0155,0.387,0.0
Need Your Heart (feat. Kai),2L7plRhGDguuuM9J1u5R7x,0.41,0.712,0.00512,0.17,7.0
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,0.595,0.711,11.0
Let's Go,4wkQmYpAaMe41Rc3sYZ7Vz,0.71,0.882,0.00777,0.858,4.0
On The Road,1bAIb7gx8wiOyzDV5Uhlqb,0.456,0.387,0.793,0.5,0.0
Red Step,1GcaJ6MZs2UzWlhDCFNbMD,0.686,0.98,0.000179,0.18,1.0
To The Sky - Original Mix,59zAd7yrbjSpwKS8oP9RKc,0.505,0.868,4.71e-05,0.363,5.0
Headcase,0Y6Oy9zaBiikNI4mS3jfEp,0.724,0.642,0.0159,0.0718,1.0
The Hills,4S73p2PcSonb5wbXIcanqv,0.587,0.565,0.0646,0.14,0.0
Haven't Met You Yet,4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,0.152,0.803,8.0
Buzzin,0wpbWr0vI9mIV6WpO5CqPi,0.723,0.949,0.132,0.598,7.0
One Trick Pony,56WVULdTfBLm31VzVHXKeV,0.684,0.679,0.000602,0.0967,10.0
Make My Whole World,3krehk8mqui3G2AeotY0HV,0.641,0.95,5.83e-05,0.245,7.0
Midnight Run,69oUjxmpalaTk74WVx8OXI,0.546,0.83,0.157,0.521,5.0
Loud Pipes,5ZrrXIYTvjXPKVQMjqaumR,0.718,0.703,0.109,0.86,7.0
When I'm Gone - Album Version (Edited),1CvCdoP0Dqx8qrdt2ZdMH6,0.64,0.736,0.0502,0.739,10.0
All The Above [feat. T-Pain],5nZ4TYZawJz8A9nHg2rLNS,0.373,0.886,0.0817,0.384,8.0
Gold (feat. Yuna),2KlZexJjJPuNWcN5uAG1GU,0.479,0.675,0.0319,0.18,9.0
Jackie Boy,5Pr0TW20B5zyznKFlPzteu,0.391,0.78,0.354,0.458,3.0
Welcome To My Life,714Lw0m2SmCEhKSPw0Dn8J,0.421,0.858,0.0134,0.513,1.0
Ice Box,395XEoHgVQ1r7YYZhOa76N,0.746,0.509,0.000549,0.371,1.0
Already Gone,7ceIquYtiTYlgSSm7PqUf9,0.209,0.872,0.217,0.292,9.0
Sandstorm - Radio Edit,3XWZ7PNB3ei50bTPzHhqA6,0.494,0.99,0.0936,0.645,11.0
Ridin' Solo,7ksYJ95P5vP87A0GH34CIk,0.442,0.83,0.128,0.59,9.0
City Of Lights - Official Radio Edit,7bxnKAamR3snQ1VGLuVfC1,0.428,0.922,0.0766,0.193,2.0
Find Yourself - Radio Edit,11aaEsw25frPMj9hszZy2q,0.57,0.596,0.000764,0.378,7.0
Red Lights,6oP02i1hRc3Qp9bd36Ya3Z,0.654,0.811,0.000626,0.557,10.0
Lighters,0pSIJCxYqZNIZBTAnIXOkv,0.628,0.659,0.328,0.154,0.0
Bangarang (feat. Sirah),6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,0.0145,0.566,7.0
Daydreamer (feat. Example) - Extended Version,32umxnWHwaBbAebfg8qHE2,0.555,0.885,0.0033,0.443,9.0
Headstrong,1CQi878MywIlm0FQfbCTvk,0.619,0.894,0.000176,0.517,4.0
Ice Cream Truck,0eYodayhfgKp2KZg42DpPo,0.376,0.803,9.45e-05,0.369,7.0
You Found Me,4IoYz8XqqdowINzfRrFnhi,0.338,0.803,0.0187,0.398,8.0
Cinema - Skrillex Remix,6jNM6fKx3WnyHbWBI9hs2r,0.635,0.983,0.00901,0.422,6.0
Daylight,6TwfdLbaxTKzQi3AgsZNzx,0.658,0.651,0.00344,0.385,2.0
A Dream Within A Dream,5IG2ks1wL6nm0efZGpRNPN,0.606,0.774,0.103,0.149,5.0
Spectrum,1dFkD1JfRMzwO6hwUsE8aS,0.616,0.795,0.0204,0.49,0.0
When the Beats Drop,0bLiYm0pTdsijVQoSKIeeM,0.452,0.892,0.000781,0.254,7.0
Dare You - Radio Edit,7LGrlydlwonTN6iz8x5ASe,0.456,0.89,0.0169,0.182,9.0
Butterfly,319WTcspJN65Lb27fVbjkc,0.33,0.632,0.00246,0.0395,8.0
Animal,5tRZJO2Tc3sxnPD1KiPka3,0.752,0.795,0.0794,0.415,1.0
All Night,15iosIuxC3C53BgsM5Uggs,0.6,0.905,0.00274,0.626,1.0
DJ Got Us Fallin' In Love,5tXyNhNcsnn7HbcABntOSf,0.666,0.878,0.03,0.67,7.0
Get It Now,7lA60IFzUokfaUExuh9WEN,0.625,0.878,0.000186,0.298,5.0
Scatta - feat. Foreign Beggars & Bare Noize,2HN8Y2Mkp9xikxGR9VJXoa,0.618,0.928,0.0154,0.382,0.0
Dirty Sexy,66YlQnuqDGTnWY8R0r6sEb,0.565,0.857,0.00229,0.307,8.0
Like Toy Soldiers,1U49kGdfMaoMSBWreMVWmK,0.681,0.77,0.0192,0.397,1.0
All These Roads (feat. Zella Day and Sam Martin),7vZek3NlVeucPxCZDUnsXP,0.492,0.836,0.00906,0.228,5.0
Romance In B Minor,69G9C5hpuaf6C3tNiWEalT,0.587,0.816,0.00122,0.236,11.0
Hold You - Hold Yuh,0j55p8YRAPG8yajtNyjt6A,0.69,0.621,0.321,0.479,8.0
Breakn' A Sweat,1ShWHEgisDGPl9G3g85ANu,0.596,0.921,0.0049,0.232,11.0
Intro,0DAsxISzun85PbsqAfIzeC,0.617,0.778,0.459,0.15,9.0
Just Dance,3E5XrOtqMAs7p2wKhwgOjf,0.818,0.732,0.0335,0.664,1.0
Air,3GhntU8mCuMuW5NXHvaTOx,0.48,0.913,0.0113,0.551,1.0
Bad (feat. Vassy) - Radio Edit,6PtXobrqImYfnpIxNsJApa,0.614,0.972,0.00125,0.405,5.0
Don't Let Me Fall,3myI1o0izYfh2z9JTQzCfJ,0.543,0.73,0.00631,0.26,1.0
Heartbeat (DMNDZ Remix) [feat. Collin McLoughlin],56lxsZRixIIQppROhHiVJF,0.604,0.801,0.0155,0.236,11.0
Run Away,0jtAgYWV6XnDGdGZ1S8p69,0.676,0.895,0.0287,0.106,7.0
Ten Feet Tall,2ldAdghnrO34HPcZ0IWfTu,0.524,0.864,0.0388,0.349,0.0
Escape,2ZnAlqhqOz4pzv9xhRbTkQ,0.464,0.689,0.0627,0.121,0.0
Die Young REMIX,75Liz40xlgtL7H9vsDF9tW,0.767,0.699,0.0355,0.659,1.0
City Of Dreams - Radio Edit,54ZPmGE1uOG9IYoUBSRSp7,0.476,0.815,0.0028,0.144,4.0
Kknow Me,1aS1uzcAC14lduwuNJZjqE,0.664,0.844,0.00635,0.525,5.0
Sunlight,0Ix7doBgImhoWJfDnwezP1,0.356,0.795,0.000195,0.44,0.0
Don't Let Me Down - Illenium Remix,15BlympuVSfZFROojEMY2M,0.428,0.656,0.0751,0.35,11.0
Time Of Your Song,0u06YF4jUgdV2WmWW04NHx,0.722,0.776,0.09,0.555,2.0
Levels,09ksjcoNRqa20lCyzNsKjB,0.661,0.716,0.00423,0.368,7.0
Runnin' - Original Mix,2NTHksJm8uYdqBMQpfJA3g,0.396,0.826,0.000359,0.13,5.0
Endeavors - Original Mix,7guLELDZkib65M4na9ZPIM,0.47,0.856,0.00104,0.263,1.0
The Show Goes On,3RuyJMim9bt3uhbAPd38xJ,0.625,0.856,0.0388,0.599,7.0
Boom Boom Pow,5MeZ3VxmtSv1O8PcekvLTn,0.868,0.848,0.151,0.345,9.0
When I'm Gone (feat. Domonique Porter,3nylK2wvSiZ2ubVHDBRdqM,0.467,0.867,0.00237,0.16,0.0
The Anthem,6TVhP2a7ESba4pR5ePflRw,0.791,0.782,0.00446,0.902,10.0
Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,0.352,0.843,0.00738,0.716,7.0
Shelter,3ISYGHoYnu4gos6JNMfL4z,0.276,0.796,0.00293,0.274,0.0
Breakeven,38xWaVFKaxZlMFvzNff2aW,0.63,0.698,0.173,0.518,10.0
Legacy,1wc971fXAVObXkpL8ZEqDT,0.673,0.898,0.24,0.587,9.0
All Deez,3ZFL7FPEcp5ltaffiI4dZx,0.653,0.609,0.025,0.287,2.0
Party Rock Anthem,0IkKz2J93C94Ei4BvDop7P,0.739,0.725,0.0235,0.345,1.0
Jail Bait,692f5A4htpyLA4kQJzv75A,0.56,0.509,0.000189,0.209,4.0
Make It Reign - Original Mix,1M7ojZPMj1hoZfILxc9ttf,0.719,0.942,0.00216,0.782,8.0
Testarossa,2TUimpbq8y43PwOoRraDzq,0.364,0.841,0.00291,0.123,10.0
Maad City,66DCmRl5lc7TMH1Et6XaSW,0.796,0.55,0.00309,0.333,9.0
Runaway (U & I) - Kaskade Remix,5EYmoAWIbrnrSMMkfHpJ2t,0.625,0.861,0.000939,0.443,10.0
Comin' Up,3KteDPcUSCl85cyDZiUBR5,0.515,0.726,0.0773,0.739,11.0
Earthquake,06BkD3JPBMXJ4xijGrkNzE,0.396,0.809,0.00409,0.397,2.0
In Your Arms - Radio Edit,1RsJtLNkVbCIkE6bPPM1og,0.643,0.96,0.27,0.506,8.0
Animus Vox,4c9FIjxXYYEyD9iH02fvbu,0.68,0.533,0.161,0.404,10.0
Last Chance,5bw3ANysdLNdRl8wZfunVp,0.416,0.848,0.0632,0.172,3.0
Born - Original Mix,6tuLr8B7NkM9qlhB9SG1Iz,0.493,0.799,0.00171,0.196,9.0
Bass Cannon,0x4DtbOFqoVjKUKQwFVnfg,0.674,0.883,0.00179,0.0407,6.0
Superheroes,37sINbJZcFdHFAsVNsPq1i,0.491,0.885,0.00219,0.624,3.0
Sexy Chick - feat. Akon,4MKzCHlZvkwJOQRNkdw4zq,0.811,0.654,0.055,0.744,11.0
Chasing Cars,11bD1JtSjlIgKgZG2134DZ,0.557,0.609,0.193,0.17,9.0
Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,0.768,0.641,0.000228,0.474,7.0
Gangsteppin,7dkajUeoUIlNCPOX7h6lEs,0.513,0.889,0.185,0.332,3.0
Talkin’ 2 Myself,12jQrKEmIjZ7WFETYRyqjk,0.446,0.958,0.0836,0.479,4.0
I'm So Sick,3CzOoYfw7mj5jMHGsJp9TG,0.434,0.961,8.45e-05,0.26,2.0
Dynamo - Oliver Twizt Trap Remix,0MCOr7zFLTxmtNmdY5NpS9,0.568,0.773,0.00717,0.383,0.0
Fade (feat. Zak Waters),0ZJDuC20QYwbXzHffx6N90,0.321,0.909,0.0117,0.0393,11.0
To Ü (feat. AlunaGeorge),3UgSQu6WwrXfKKDq019IHE,0.485,0.928,0.134,0.362,10.0
I Need Your Love,05SBRd4fXgn8FX7bf8BCAE,0.695,0.869,0.41,0.572,8.0
Smash The Floor - Original Mix,5S0z7MZEboNs1Zoima485G,0.712,0.764,0.000193,0.1,10.0
Really Got It,7JNtiT1CLAfy95gHRHE6WH,0.713,0.967,0.294,0.71,11.0
Raindrops - Original Full Vocal Mix,1jal6YRW76PorNdDPkxLrp,0.416,0.782,0.127,0.418,7.0
Feel This Moment,0MyiW8Cp18ZMsZJfZhbuQ0,0.668,0.758,0.0338,0.514,7.0
Bad Machine (feat. Insomnia) - Original Mix,2Aly0kBHnpKvRiKi0qSaNR,0.606,0.824,0.000799,0.43,9.0
Ruffneck - FULL Flex,5tGwVrXBhYGUIRQuQ1gvrQ,0.646,0.97,0.000244,0.334,5.0
Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,0.857,0.517,0.565,0.75,0.0
Sometimes I Still Miss Her - Original Mix,2XKwzb0l1TIrOja0wgv3tT,0.629,0.668,0.000508,0.0969,0.0
Jump Ya Body - Dub Mix,3k3DZvTCSD4HKvj26dQDk8,0.734,0.969,0.0372,0.226,10.0
I Can't Stop Drinking About You - Chainsmokers Remix,56T1QA7202iW7fZes2PTUe,0.637,0.664,0.0451,0.358,3.0
Feeling Good - Bassnectar Remix,100pCH9jeWJKKyK2sYtasx,0.45,0.675,0.00157,0.212,7.0
Love Song,3mtukCAgd0mE260QcBfXAX,0.625,0.686,0.0154,0.542,9.0
Beautiful,7rv0UuxMX7CpUUwEE1jVrd,0.739,0.938,0.131,0.65,0.0
Say It Ain't So,4YPhn26bIFm2KUkL1VLzQG,0.645,0.42,0.00405,0.461,3.0
Body Body - Ishe Remix,2GjGyFLu2q3lQ128UgIY3w,0.665,0.842,7.03e-05,0.62,11.0
Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.485,0.619,0.0941,0.424,5.0
Higher Ground,0Js9hB2I66nJliPIJxzn2R,0.711,0.761,0.598,0.526,6.0
How to Save a Life,5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,0.269,0.356,10.0
Big Boss,34o2xJAVNTzoYN0o2Sd6sW,0.553,0.983,2.08e-05,0.0272,1.0
False Pretense,2ZICF8SFI5tHttaLJKMY1X,0.509,0.93,0.00137,0.764,0.0
Nothing Can Hold Us Down,4BHDBRF1AZsWUf2t7p2hoi,0.475,0.869,0.00148,0.17,5.0
Invincible - Radio Edit,5sYzg83Vy4IW4TfE9jwk8g,0.613,0.775,0.00678,0.385,6.0
Assets,6434Cyt3VkOxroedmysIHO,0.719,0.801,0.00116,0.839,0.0
Soundclash,1CHcv3ENgWTEkTUayOBShJ,0.686,0.969,0.214,0.805,11.0
Pushing Me Away,1gAaRSN57UYVRI4eWRyAvP,0.494,0.906,0.000444,0.306,6.0
Fireflies,3DamFFqW32WihKkTVlwTYQ,0.591,0.649,0.0294,0.482,3.0
Superbad,3LK9g77hd41jzbGh1Etj44,0.535,0.928,0.000241,0.613,7.0
Rescue Me (feat. Juliana Chahayed) - Original Mix,2AoML94KKYaZM5G15wYP82,0.667,0.94,0.00209,0.293,5.0
Broken Box,7dgBw1mnStvpia3BYkFIcK,0.778,0.648,0.0127,0.475,1.0
Pop Style,334S9SWZMjyRDN0wrHw7wk,0.721,0.461,0.173,0.0566,4.0
First Time,40Fp6pxcS9l08kL1R50mR4,0.441,0.949,4.44e-05,0.447,3.0
Flesh and Bones,7wAtUSgh6wN5ZmuPRRXHyL,0.612,0.578,0.0544,0.486,8.0
Some Wobbles,3GLXFIHck82iqnWqhnm03n,0.581,0.799,0.00393,0.35,7.0
Levels - Skrillex Remix,5f6igUw1asUL4AGXSvgTW8,0.615,0.91,0.00761,0.347,5.0
Never Say Never,57uX2vR9j9DNiANDYfXw1i,0.23,0.492,0.568,0.254,8.0
Fly Away,2q04AFjRX4GKTnFj2eUb5W,0.556,0.732,0.12,0.201,6.0
Remember The Name (feat. Styles Of Beyond),3VrI4JYoS75hyLPwG6Z9tn,0.687,0.805,0.0661,0.893,8.0
Crew Love - Album Version (Edited),5baEkEUsvAaRqteAPtlNdE,0.406,0.545,0.302,0.374,0.0
Mind Control,4YDbInqb45jMFzloEAG531,0.629,0.895,0.00181,0.537,1.0
All I Want - Amended,0nM7Kb7F9PvGB9W0mLbqlX,0.366,0.852,0.000323,0.514,1.0
Drive It Like You Stole It,0Dz49qemTOjX9RcPZzIl2q,0.608,0.68,0.106,0.424,5.0
Replay,5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,0.173,0.189,9.0
Stop And Stare,48s0QHJgmiNsth3WEO6U4M,0.488,0.862,0.0706,0.253,4.0
The Hero - Original Mix,5GxnELiWZLV5v3mOglIlMP,0.16,0.901,0.00158,0.457,6.0
Little Talks,3a2tuvXCHbW5nuUckuHkKT,0.46,0.786,0.0215,0.419,1.0
In The End,60a0Rd6pjrkxjPbaKzXjfq,0.553,0.9,0.0113,0.397,3.0
Just Dance - RedOne Remix,7sm1xuahSGG5qFa9pFXWVs,0.893,0.812,0.0034,0.815,4.0
I Love It When You Cry (Moxoki) - Radio Edit,6vscP7Fweq7fwosyliwjRq,0.639,0.795,0.0246,0.438,9.0
Outside,7MmG8p0F9N3C4AXdK6o6Eb,0.646,0.823,0.213,0.391,2.0
Club Can't Handle Me (feat. David Guetta),0xcl9XT60Siji6CSG4y6nb,0.623,0.882,0.0205,0.523,0.0
Falling In,21tN4jr0QFNyin6YgO9jvm,0.652,0.853,0.00133,0.523,7.0
Between Two Points (feat. Swan),6Po0JDs8vPuZOCF7RLbtUE,0.528,0.685,0.133,0.233,6.0
Slap Me - Candyland Remix,3utPGuiv05PqnGyJ5PlGLD,0.319,0.782,0.0321,0.299,6.0
River Flows in You - Dubstep Remix,0QwD6Dv9PdUKj2scIciAgu,0.74,0.642,0.242,0.395,9.0
Now (feat. Rye Rye),05XsaFSfkfX1gp1B8McXen,0.533,0.952,0.0246,0.515,7.0
The Middle,3mcG2NI5G5vhrQtRda1YnA,0.633,0.899,0.0428,0.919,2.0
Stan,65pX1V69TGPSYKI8F76Nby,0.767,0.709,0.0391,0.495,11.0
Lucid Truth,1nNPLcueemE7gIoBqsYUTT,0.641,0.913,0.0402,0.342,10.0
Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb,0.656,0.821,0.000194,0.773,0.0
Dying feat. Ultraviolet Sound & Emily Hudson (Brown & Gammon Remix),0MHRDZ9sbEWl46lhK9lyN1,0.639,0.688,0.000478,0.232,5.0
'Till I Collapse,6p4SUKhIyPqbmU828M0JWD,0.559,0.84,0.0706,0.113,1.0
Bulletproof,6zcWUhRicjiDYvvLmRDjD6,0.581,0.818,0.00128,0.3,5.0
Down,7LP4Es66zdY7CyjepqmvAg,0.663,0.693,0.0149,0.696,11.0
Nothing,0c3yfC8zMRJGvmqphczhZb,0.473,0.833,0.00369,0.517,2.0
Make Some Noise - Original Mix,63wmAgmkYuzSL2Fg8GaGRy,0.635,0.784,0.000602,0.206,4.0
Reaching Out,1zknwaZrdR0Z3nvUbVFFEb,0.448,0.85,0.000443,0.0893,9.0
That's All She Wrote (feat. Eminem),4UwtMoKBvYi0mMbH2ZI3uB,0.496,0.785,0.0328,0.341,7.0
Voices - Markus Maximus TRAP Remix,6Nr3yqX7OeSIlvuxCqxx2A,0.642,0.771,0.0111,0.237,6.0
You & Me (feat. W. Darling),3x94KfC5QAsqFKjUGQBH4k,0.495,0.743,0.000748,0.148,7.0
So Big,2eahNyQXJ0OtG6e1McsQ9N,0.727,0.691,0.139,0.609,6.0
Crave You - Adventure Club Remix,42JC7XjdRGOVOKOZK4tvcX,0.624,0.728,0.0054,0.105,1.0
Dum Dum,7sUoGRGkDisk3qNAzugUxN,0.787,0.81,0.0596,0.606,5.0
Stay The Night - featuring Hayley Williams of Paramore,3xozZw4YNCv777ONrbdHsy,0.6,0.728,0.109,0.441,8.0
Feeling So Blue - Album Mix,1LEwexed2UkyzWa9nouvRW,0.567,0.893,0.00172,0.743,1.0
International Love,5o9JV34izXSnaKVyMjaMdE,0.669,0.858,0.0113,0.624,0.0
Tidal Wave,2OXK1ShksXD51tOLsE0E7s,0.532,0.868,0.0502,0.509,5.0
Reasons feat. Andrew Allen,3dHC2M7GPFB0iNk64foCxj,0.82,0.705,0.0412,0.81,7.0
Hey Brother,4RXpgGM7A4Hg7cFBoH5KyF,0.537,0.777,0.0279,0.412,7.0
Promises - Skrillex & Nero Remix,04ZBBOl3AoCBY1A3CTKZLn,0.533,0.835,0.00378,0.18,9.0
Diesel Not Petrol,4avinp5hlc6W1wtAtqPaHH,0.813,0.723,0.00989,0.652,7.0
Demons,1Ntj0hZfncXCQ5hij7igIE,0.319,0.72,0.173,0.34,3.0
Heathens,6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,0.0841,0.547,4.0
Sail - Unlimited Gravity Remix,7qAWdfgvuDJQlhjppYtAfA,0.583,0.47,0.18,0.424,1.0
No Beef,2o1F0b0NCGabe7BbLNqe5J,0.74,0.828,0.0194,0.227,4.0
Must Be The Feeling - Flux Pavilion & Nero Remix,3BVAGwQGSiWXpIWx8QbMvP,0.286,0.92,0.00121,0.0429,3.0
"Wild One Two - feat. David Guetta, Nicky Romero & Sia",5MnkhumYJRLvLdEzIqkfWy,0.703,0.684,0.00164,0.222,8.0
I Gotta Feeling,72np30cEzvqzxAUG5mrhyT,0.741,0.756,0.0803,0.603,0.0
