track_name,track_id,Danceability,Energy,Acousticness,Valence,Key
How Low - Album Version (Edited),1OTAh8d1KFAFmEeS32b3Aj,0.789,0.502,0.00318,0.36,11.0
Drop That Low (When I Dip),48kF7W23OIcVBsNY5UesuQ,0.579,0.896,0.00945,0.0911,5.0
We Come Running - Tiësto Remix,4uhRGMvNy1BYoiJByEHL93,0.664,0.768,0.00101,0.248,0.0
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,0.157,0.419,11.0
The Great Divide - Seven Lions Dub Mix,5gaZEkMg6D9QuOnmAVpYVX,0.49,0.739,0.00201,0.184,1.0
Please Don't Go,6jg5SRvdGxvJ0DzNV0UqEK,0.699,0.882,0.00296,0.633,4.0
Ghosts 'n' Stuff,3ezkJgagRPZ39KCTrKcSI7,0.611,0.613,4.73e-05,0.454,8.0
Love Again,1Dnax0nwAz46IyAnljAXkh,0.564,0.889,0.0934,0.218,8.0
Higher,4RtI4NxSbTIxCMIjERsQ83,0.6,0.882,0.0345,0.743,6.0
Gold Skies,5vQIaNoKsT4xkG1j2KFBFs,0.562,0.815,0.00426,0.203,9.0
Gold Love - feat. Rosie Oddie,1MwnqTZQR89Y0LOLMJUceN,0.468,0.907,0.00169,0.0379,6.0
Going Under,3UygY7qW2cvG9Llkay6i1i,0.367,0.86,0.00744,0.463,11.0
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,0.732,0.724,0.511,0.801,0.0
Never Too Late,3HE50TVRquwXe9yv2HFoNL,0.433,0.778,0.00838,0.205,2.0
We Swarm,4IJUO9cdEvsHVDk52UZVHr,0.667,0.783,0.00584,0.394,7.0
Best Day Of My Life,5k31cAfP8yymw8v0AYQIjr,0.672,0.901,0.0545,0.51,2.0
Music in Me,3sSwdKGqxmpycfrRHY61Mf,0.474,0.939,4.52e-05,0.314,5.0
What You Know,6jrMVRReY24qzCfe1BRrww,0.556,0.763,0.000728,0.821,6.0
Running Man Challenge Song,715hsmXdbYZxrmdJP9boMJ,0.868,0.519,0.00732,0.844,6.0
Run,2wIC3jqtTK78zQMdj1DRLu,0.686,0.665,0.725,0.692,1.0
Finger Trvp,4Qlkh3gmpXGqYhNt1JPmtq,0.714,0.952,0.000946,0.474,5.0
Space Bound,4FX6ZSi5Hcb4aOZarFlIxH,0.656,0.878,0.035,0.522,0.0
Out The Blue - Radio Edit,7s239LkPiOKM5XGxgiYQpr,0.413,0.948,0.00758,0.342,8.0
Heartless,5h9pB5af60LWJBrG1HCHsU,0.787,0.635,0.0457,0.605,6.0
Sweet Shop,295nnPutAyvfXpVsfwJbga,0.592,0.886,0.00487,0.105,7.0
Summer,7b71WsDLb8gG0cSyDTFAEW,0.603,0.861,0.0215,0.72,4.0
Written in the Stars (feat. Eric Turner),5e0dZqrrTaoj6AIL7VjnBM,0.656,0.941,0.0694,0.518,7.0
The Nights,0ct6r3EGTcMLPtrXHDvVjc,0.528,0.852,0.0181,0.656,6.0
