track_id,track_name,popularity,playlist_id,danceability,energy,acousticness,valence,tempo
1CQi878MywIlm0FQfbCTvk,Headstrong,32,2,0.619,0.894,0.000176,0.517,92.393
3K4HG9evC7dg3N0R9cYqk4,One Step Closer,68,2,0.492,0.969,0.0014,0.534,95.136
6AbVJjzv7thIvmMCuhZrmK,Make It Bun Dem,60,2,0.556,0.881,0.00119,0.336,104.973
1gAaRSN57UYVRI4eWRyAvP,Pushing Me Away,55,2,0.494,0.906,0.000444,0.306,103.121
7kxM3UJwN6rHAW5kwdlAHK,Forgotten,55,2,0.626,0.942,0.0141,0.579,108.203
60a0Rd6pjrkxjPbaKzXjfq,In The End,76,2,0.553,0.9,0.0113,0.397,105.213
2nLtzopw4rPReszdYBJU6h,Numb,74,2,0.496,0.863,0.0046,0.244,110.018
60ZGteAEtPCnGE6zevgUcd,Mountain Sound,61,2,0.395,0.896,0.0513,0.35,101.867
3ZffCQKLFLUvYM59XKLbVm,Wake Me Up When September Ends,71,2,0.546,0.814,0.023,0.133,104.98
5e0dZqrrTaoj6AIL7VjnBM,Written in the Stars (feat. Eric Turner),44,2,0.656,0.941,0.0694,0.518,91.914
24lMtPOCzP5g4hrg3NklLa,Just The Way You Are,23,2,0.637,0.843,0.0151,0.441,109.012
5k31cAfP8yymw8v0AYQIjr,Best Day Of My Life,16,2,0.672,0.901,0.0545,0.51,99.989
12jQrKEmIjZ7WFETYRyqjk,Talkin’ 2 Myself,31,2,0.446,0.958,0.0836,0.479,88.544
4IJUO9cdEvsHVDk52UZVHr,We Swarm,41,2,0.667,0.783,0.00584,0.394,115.004
2381zVF9gwq7dUvn3xPMIO,Rise (feat. Mona Moua) - Original Mix,25,3,0.442,0.803,0.0188,0.151,140.058
5irnMDJew7e7vLpscN4ISq,All is Fair in Love and Trap,31,3,0.582,0.679,0.000569,0.292,139.993
5dANgSy7v091dhiPnEXNrf,Put On,65,3,0.649,0.785,0.0027,0.285,137.618
1Hk0QRlUFCHYG6zIvUh0Xd,Summer,68,3,0.583,0.748,0.00695,0.234,142.029
0FjkcycxVB1Jd7mcdEDDWp,Magic,59,3,0.551,0.839,0.0241,0.298,141.976
0Q3SC6kEhxYagDP3bFe5K9,Keep It Mello (feat. Omar Linx),72,3,0.686,0.888,0.00134,0.114,142.015
36VsbiKzTGfjdZMyVos7b2,Give You Back Life (Swifty Song),32,3,0.591,0.805,4.76e-05,0.138,139.998
5S0z7MZEboNs1Zoima485G,Smash The Floor - Original Mix,21,3,0.712,0.764,0.000193,0.1,143.001
56WVULdTfBLm31VzVHXKeV,One Trick Pony,36,3,0.684,0.679,0.000602,0.0967,140.139
0bLiYm0pTdsijVQoSKIeeM,When the Beats Drop,15,3,0.452,0.892,0.000781,0.254,140.008
28XFFzVPXs3kzXOERhz3wU,Turn Me On,23,3,0.477,0.846,0.00792,0.0786,139.999
2Vq1ag1tOZIIUN2mH5WZa6,Oh No,26,3,0.518,0.892,0.000531,0.235,140.044
19MbwSLaYgAtyicNUMYYgl,Empathy,38,3,0.367,0.974,1.57e-05,0.304,139.945
4bs7bgxoxnkPAiuGM4rpcp,Promises (feat. Nessakay),28,3,0.476,0.737,0.0359,0.244,140.01
0nq0Uc8fH2KXrOvoDP9Ppz,I Don't Wanna Love You,42,3,0.54,0.658,0.0215,0.27,139.976
5tq5d4HznUEVS8jYxxRiVe,Light It Up (feat. Heather Bright),0,3,0.358,0.77,0.00173,0.213,140.075
5r14W16ijoqLwf0cGBeIii,Twerk - Original Mix,25,3,0.324,0.844,0.00083,0.325,137.213
6BLOGv41SktD5DjhCcqwah,Truth (Dabin Remix),27,3,0.452,0.748,0.00762,0.183,140.059
3gB0inHWfzACc0wjolOdpa,When I Look At You,0,3,0.547,0.737,0.00031,0.039,140.331
0GZrf19S4472ysky5ODe2c,Hush Now (501 Remix),33,3,0.558,0.816,0.0115,0.0767,140.179
3nylK2wvSiZ2ubVHDBRdqM,When I'm Gone (feat. Domonique Porter,0,3,0.467,0.867,0.00237,0.16,140.049
56lxsZRixIIQppROhHiVJF,Heartbeat (DMNDZ Remix) [feat. Collin McLoughlin],0,3,0.604,0.801,0.0155,0.236,139.996
4TYywuf1tdUdbEuDI1nqsg,Guilt,33,3,0.208,0.865,0.00603,0.148,139.992
7lA60IFzUokfaUExuh9WEN,Get It Now,14,3,0.625,0.878,0.000186,0.298,140.04
3k3DZvTCSD4HKvj26dQDk8,Jump Ya Body - Dub Mix,33,3,0.734,0.969,0.0372,0.226,140.024
5LovPZMS579wYfjuapGGHz,Vision,0,3,0.703,0.892,0.00305,0.227,139.958
2kDVDefTovXooa3OiLRR4H,Last Jungle,10,3,0.477,0.76,0.00152,0.0518,144.975
3x94KfC5QAsqFKjUGQBH4k,You & Me (feat. W. Darling),53,3,0.495,0.743,0.000748,0.148,140.047
1LV5G400jD3Ytvyv6Dlkym,Right In,50,3,0.636,0.802,0.00631,0.334,139.815
4efFlbKkwXq3rrMF5RODaI,Flashing Lights,28,3,0.537,0.802,0.0266,0.243,140.099
3GV1T0k3QDPKdZgdQUWiZc,Acrylics,36,3,0.632,0.845,0.00926,0.15,142.042
2ClWt2RN5FdNthxgR2VRDF,I Still Can't Stop,45,3,0.661,0.855,0.000847,0.137,140.02
2I0G8OVqgjLvY5fBC9Qc0J,Mountains and Molehills - feat. Turin Brakes,19,3,0.595,0.763,0.0105,0.038,139.983
7owpI9kPFpz7qjIBfNC8F9,Sleepless - Original Mix,35,3,0.545,0.671,0.0343,0.0537,144.955
6CY8FegdChgsMU2EhKkXPy,Raise Your Weapon,0,3,0.507,0.696,0.0155,0.0679,139.973
19ayyJLKWE9fTMrDBPzsg8,Hot Pursuit - Dead Battery Remix,0,3,0.555,0.938,0.000855,0.165,140.019
2LGfcxG9LcDOxnltIPE1Zq,Shotgun,50,3,0.664,0.907,0.0129,0.231,144.956
5e4VwyOKgbNeUNxHbskYbA,Staxx - Original,21,3,0.516,0.979,0.00167,0.224,139.902
1GcaJ6MZs2UzWlhDCFNbMD,Red Step,28,3,0.686,0.98,0.000179,0.18,140.007
4Rw8mKy2QVFYb3ZYnqBpPv,We Are The Sun - SAVOY Remix,10,3,0.374,0.892,0.000609,0.0915,139.971
3yzTHAsG7KsYbf4G9RfF5m,DIY,24,3,0.386,0.868,4.78e-05,0.0381,140.111
1uy0MBpwxwAmNXbQZ197hK,Still With Me - Seven Lions Remix,45,3,0.242,0.881,0.0131,0.0629,137.946
2L7plRhGDguuuM9J1u5R7x,Need Your Heart (feat. Kai),46,3,0.41,0.712,0.00512,0.17,140.093
2XKwzb0l1TIrOja0wgv3tT,Sometimes I Still Miss Her - Original Mix,20,3,0.629,0.668,0.000508,0.0969,139.995
2XbF32Nwvi5Kz7BRR4cIGz,Thundergun,16,3,0.527,0.846,4.76e-05,0.0631,140.008
3ppoJQy0LRWhYE3WLi0c06,Hold On To Love - KillaGraham Remix,15,3,0.538,0.883,4.88e-05,0.147,139.827
42JC7XjdRGOVOKOZK4tvcX,Crave You - Adventure Club Remix,28,3,0.624,0.728,0.0054,0.105,139.939
2WYkDJcSDSRoTWvylucBf4,In The Beginning,0,3,0.675,0.85,0.00655,0.0605,140.021
1cQVQ3a5ivU9NVkr1nUvES,Ghosts 'n' Stuff - Nero Mix,34,3,0.491,0.536,0.000238,0.0571,139.998
0MHRDZ9sbEWl46lhK9lyN1,Dying feat. Ultraviolet Sound & Emily Hudson (Brown & Gammon Remix),0,3,0.639,0.688,0.000478,0.232,140.001
6tzOconzD4bSDhoEs1d2vg,Who's Gonna Save Us - Original Mix,21,3,0.514,0.818,0.000419,0.196,142.056
4khAZaVsqoaSZfnJNRv2Wi,Mad - Promo Version,15,3,0.2,0.732,1.51e-05,0.0328,139.98
0mptj3TfqxEI36lkWHRCZc,Liquid Shards (Original) - Original,15,3,0.621,0.795,0.00296,0.144,140.086
2NTHksJm8uYdqBMQpfJA3g,Runnin' - Original Mix,26,3,0.396,0.826,0.000359,0.13,139.819
3ln5b8DzOjoXHP5u89HYN1,Through The Night - Bare Noize Remix,19,3,0.515,0.865,6.5e-05,0.164,140.096
0hXHaInitAHX93BwakWT3k,Cozza Frenzy,32,3,0.521,0.961,0.000348,0.228,138.094
0seqAc1hq6Rzbqhe75MNvr,Boomerang,30,3,0.392,0.845,1.2e-05,0.225,139.967
319WTcspJN65Lb27fVbjkc,Butterfly,42,3,0.33,0.632,0.00246,0.0395,140.0
0fTFmyy8AwWHiRoDgTh80w,Vava Voom,41,3,0.537,0.97,0.000401,0.163,140.032
59qiaXIrZMvor2T7fkupLp,Get By,24,3,0.521,0.91,0.00506,0.197,140.004
6Nr3yqX7OeSIlvuxCqxx2A,Voices - Markus Maximus TRAP Remix,2,3,0.642,0.771,0.0111,0.237,144.941
7oGLmbwmHDLz2v5jNjFuRX,Rise & Fall,0,3,0.459,0.903,0.00053,0.137,140.052
5Ws6jxX9qRFJHHsXN71RXI,Graduation,0,3,0.428,0.689,0.00315,0.0501,139.938
5pXXTubAeE6K72UH94kKzJ,Blue,1,3,0.399,0.63,0.00084,0.0377,139.98
5gaZEkMg6D9QuOnmAVpYVX,The Great Divide - Seven Lions Dub Mix,17,3,0.49,0.739,0.00201,0.184,140.019
295nnPutAyvfXpVsfwJbga,Sweet Shop,32,3,0.592,0.886,0.00487,0.105,139.913
6zcWUhRicjiDYvvLmRDjD6,Bulletproof,29,3,0.581,0.818,0.00128,0.3,140.004
5F7FWI7P3jMzO3yCz0jELg,Hold Me Close,40,3,0.627,0.902,0.000537,0.0445,139.97
61l4Cfs1gVrmrDNZuS5pez,Haunt You,34,3,0.525,0.887,0.00394,0.15,140.018
03EuhmMsEHVFI9ytainStU,I Can't Stop,58,3,0.513,0.775,0.000672,0.211,139.932
0x4DtbOFqoVjKUKQwFVnfg,Bass Cannon,15,3,0.674,0.883,0.00179,0.0407,139.982
2jqLbIM6WiNFtzwePhduS7,Where's My Money - Caspa Remix,22,3,0.794,0.805,0.0229,0.0899,140.013
7wNtcpvxS7xU1apfK46bSD,Act Like You Know - Dubstep Mix,17,3,0.564,0.895,0.00473,0.157,139.933
1zknwaZrdR0Z3nvUbVFFEb,Reaching Out,32,3,0.448,0.85,0.000443,0.0893,139.977
04ZBBOl3AoCBY1A3CTKZLn,Promises - Skrillex & Nero Remix,28,3,0.533,0.835,0.00378,0.18,140.012
7lZni8yv8FMx7120C7uF1V,Exogenesis,31,3,0.559,0.915,0.00111,0.0531,140.081
58qbTrCRGyjF9tnjvHDqAD,Relentless,42,3,0.585,0.736,0.00498,0.188,139.972
1uY4O332HuqLIcSSJlg4NX,A Reach For Glory,42,3,0.601,0.713,0.00154,0.223,140.015
6tuLr8B7NkM9qlhB9SG1Iz,Born - Original Mix,45,3,0.493,0.799,0.00171,0.196,141.012
29CUH1oudJKhTZx1sWSRIu,Feel So Close - Nero Dub,10,3,0.218,0.701,0.000267,0.0551,139.971
6gUJHd24J2X6iLSVTxUTnf,Blu - Original Mix,34,3,0.499,0.73,0.0094,0.258,142.026
1SCpAAw3towOivp0UoNiV1,In My Eyes - Original Mix,34,3,0.509,0.802,0.0194,0.218,140.108
4SI2dtAqzrNFze8JrSzl4o,Spaceman - Drown The Fish Remix,21,3,0.651,0.893,0.000316,0.294,139.946
2AqGzt3g1L447rpkfqByiR,Who Knew,54,4,0.755,0.787,0.325,0.572,91.026
5gRqfNJ5C5jwA9kBOfedmm,Dysfunctional,0,4,0.782,0.835,0.281,0.536,80.014
59dLtGBS26x7kc0rHbaPrq,Nothin' On You (feat. Bruno Mars),62,4,0.688,0.853,0.386,0.734,103.993
2wDz70kiUyVKNSusLt7CNL,Forever - Album Version (Edited),37,4,0.466,0.923,0.259,0.523,105.191
45sDIKapDyxPl307QpEAwl,Rocketeer,54,4,0.666,0.819,0.166,0.413,95.999
0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",72,4,0.675,0.885,0.217,0.775,97.03
5ovKMrenMOvhyEcMWmLnZj,Tropicana,39,4,0.542,0.805,0.267,0.313,91.942
12rVL9zxkLUrInr6sg8gwX,Airplanes (feat. Hayley Williams),32,4,0.66,0.846,0.113,0.406,93.026
1j8z4TTjJ1YOdoFEDwJTQa,Ain't It Fun,66,4,0.61,0.893,0.154,0.666,104.031
0cc9bwqbJ4Y3DsJr2GRAz3,Cinderella Man,40,4,0.644,0.915,0.218,0.664,85.999
1suVumj3iYT2crOD6PU5Dm,Echoes Of Silence,30,5,0.216,0.189,0.947,0.141,77.818
1Ngm5f21E4RjPPz63xzEVn,Loft Music - Album Version (Edited),33,5,0.291,0.493,0.57,0.0646,80.763
1G6VEHUpsHDNaV2l31Xmfu,Connect,26,5,0.44,0.477,0.444,0.468,74.963
1eJ8OO6hINoaczlMkQri9I,Mind Games,23,6,0.504,0.917,0.0796,0.341,174.016
7IfkJAmXR0DuUdbsgFj7ja,Kiss of Light,23,6,0.483,0.798,0.0225,0.456,170.034
7eElCunvkUumNjyatr1onM,Counting Stars - Remix,0,6,0.521,0.814,0.0329,0.407,179.389
1ti43ZT6bc4o1eGOSnBHkO,Speakerbox (feat. Lafa Taylor),58,6,0.507,0.934,0.00943,0.472,175.954
5ami95W9OOWQPwrBb5tud5,Watercolour,55,6,0.421,0.896,0.000174,0.183,174.065
1CRESO4AuKm5B5Lqodk7t9,Frame of Mind,57,6,0.435,0.727,0.0424,0.403,174.992
5Vac8co5QPblcdlWbHSFsE,"Check Yes, Juliet",59,6,0.349,0.919,0.00415,0.295,166.916
3eKoLbxkNhAINXr22jjv7E,Cutting Through,33,6,0.389,0.868,1.29e-05,0.23,175.071
6CLuXOJNHuLVAbhUP5XWFM,Faces,32,6,0.546,0.804,0.00183,0.38,174.149
0eYodayhfgKp2KZg42DpPo,Ice Cream Truck,21,6,0.376,0.803,9.45e-05,0.369,180.038
4UwtMoKBvYi0mMbH2ZI3uB,That's All She Wrote (feat. Eminem),62,6,0.496,0.785,0.0328,0.341,170.02
6ezyEFqZDgQUvxpaDv4jKO,Price Tag,20,6,0.638,0.846,0.0288,0.649,174.968
0wlG1xpRozHe3jmIzK5Nhm,Show You - Original Mix,15,6,0.488,0.926,0.0161,0.346,174.992
5QxkroIQPiY8UKgSFFuYQd,We Go Down,45,6,0.545,0.927,0.011,0.416,171.816
3xcv3R9LGJkprp0EOQvdNt,Everyday - Netsky Remix,2,6,0.327,0.933,0.000346,0.102,173.92
7s239LkPiOKM5XGxgiYQpr,Out The Blue - Radio Edit,30,6,0.413,0.948,0.00758,0.342,174.067
2OXK1ShksXD51tOLsE0E7s,Tidal Wave,45,6,0.532,0.868,0.0502,0.509,173.948
64I0O6ZipYryKte1cHA2EY,End Credits,34,6,0.231,0.77,0.0101,0.105,175.064
6U7VUPf8d3K1dY0UNMdDXS,Time Bomb (feat. Veela),35,6,0.336,0.81,0.000479,0.222,175.022
5TtPEFYnYlzEbEsA5nHJYq,Run Riot - Sub Zero Remix,0,6,0.463,0.992,0.000221,0.185,175.05
0Z99qIN6Vur4XDCI6ez7A2,Lost in the Future,0,6,0.397,0.865,0.00513,0.225,173.954
29mwaZVWzTiVgou4ghU1xT,Dusk to Dawn,0,6,0.497,0.851,0.000298,0.261,175.004
6pazDyDn0XF0te3wSjozhC,Hold On - Sub Focus Remix,0,6,0.382,0.928,0.00676,0.0571,173.975
4gMIZhJUOCjmQxo1fwhhnK,My Eyes,34,6,0.376,0.954,0.000129,0.034,174.045
1uiwlmWedlNpzAxDSRGqdK,Lost in You,51,6,0.434,0.868,0.0199,0.371,162.969
7guLELDZkib65M4na9ZPIM,Endeavors - Original Mix,38,6,0.47,0.856,0.00104,0.263,170.039
7fgvoTsYxp3e3gE0ELkYcs,I Am You,41,7,0.673,0.715,0.213,0.932,159.924
7uSZPbd8DxdkmSauCKnITY,We Rise,64,7,0.747,0.491,0.197,0.817,145.034
6aCxdt2bMItKgGKoznDppY,"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",58,7,0.576,0.602,0.248,0.57,141.345
4S1VYqwfkLit9mKVY3MXoo,Forever Young,66,7,0.489,0.483,0.42,0.334,136.822
5baEkEUsvAaRqteAPtlNdE,Crew Love - Album Version (Edited),36,7,0.406,0.545,0.302,0.374,160.298
7qAWdfgvuDJQlhjppYtAfA,Sail - Unlimited Gravity Remix,51,7,0.583,0.47,0.18,0.424,149.844
5ROgGNMqsh5n2Puz9Ezm8a,Ghosts - Hermitude Trapped In Heaven Remix,28,7,0.745,0.439,0.0674,0.807,150.049
3ISYGHoYnu4gos6JNMfL4z,Shelter,76,8,0.276,0.796,0.00293,0.274,199.526
6gp3RHhdZlrPGaf5qcgFSg,Animals,46,8,0.279,0.75,0.000188,0.32,189.806
135LJjySt93VCJfg2eCdeI,Guns and Roses (feat. P!nk),17,8,0.273,0.857,0.0842,0.43,183.836
1Ntj0hZfncXCQ5hij7igIE,Demons,60,8,0.319,0.72,0.173,0.34,179.886
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,68,8,0.316,0.945,0.00895,0.303,189.931
3xrn9i8zhNZsTtcoWgQEAd,Since U Been Gone,69,9,0.662,0.741,0.00165,0.409,131.0
5wRrFp0QbRIMfWrdUdanE7,ECHO (LET GO),58,9,0.55,0.83,0.00821,0.486,133.945
2N2Mp4HjnYcmrZ2YqrKedy,Alone,51,9,0.553,0.861,0.00592,0.365,127.966
6cArqaQns9tmQ7fdHTYvzi,Drifting,34,9,0.543,0.758,0.00279,0.372,134.975
0crMum0BzSBoGK9lxXx26b,Sever the Ties (feat. Esther Sparkes),55,9,0.559,0.706,0.0322,0.305,150.05
2U1uiiXgExCpPr4GhLGJMv,Take My Breath Away,64,9,0.544,0.899,0.0663,0.496,120.967
72lnxzSpy950mij59qCYXG,All I Do Is Win,36,9,0.543,0.774,0.0099,0.309,149.976
1aS1uzcAC14lduwuNJZjqE,Kknow Me,61,9,0.664,0.844,0.00635,0.525,142.056
